Event,Lap,Driver,GapToLeader_Secs
Australian Grand Prix,1.0,VER,2.276
Australian Grand Prix,1.0,GAS,17.002
Australian Grand Prix,1.0,ANT,25.25
Australian Grand Prix,1.0,ALO,20.062
Australian Grand Prix,1.0,LEC,11.437
Australian Grand Prix,1.0,STR,22.327
Australian Grand Prix,1.0,TSU,13.538
Australian Grand Prix,1.0,ALB,15.083
Australian Grand Prix,1.0,HUL,24.165
Australian Grand Prix,1.0,LAW,31.726
Australian Grand Prix,1.0,OCO,28.633
Australian Grand Prix,1.0,NOR,0.0
Australian Grand Prix,1.0,HAM,15.879
Australian Grand Prix,1.0,BOR,27.013
Australian Grand Prix,1.0,SAI,0.0
Australian Grand Prix,1.0,HAD,0.0
Australian Grand Prix,1.0,RUS,7.591
Australian Grand Prix,1.0,DOO,0.0
Australian Grand Prix,1.0,PIA,3.741
Australian Grand Prix,1.0,BEA,32.187
Australian Grand Prix,2.0,VER,1.6949999999999998
Australian Grand Prix,2.0,GAS,18.44
Australian Grand Prix,2.0,ANT,25.235
Australian Grand Prix,2.0,ALO,19.632
Australian Grand Prix,2.0,LEC,8.661
Australian Grand Prix,2.0,STR,21.994
Australian Grand Prix,2.0,TSU,11.925
Australian Grand Prix,2.0,ALB,14.092
Australian Grand Prix,2.0,HUL,23.66
Australian Grand Prix,2.0,LAW,31.204
Australian Grand Prix,2.0,OCO,28.645
Australian Grand Prix,2.0,NOR,0.0
Australian Grand Prix,2.0,HAM,15.804
Australian Grand Prix,2.0,BOR,26.67
Australian Grand Prix,2.0,RUS,5.776
Australian Grand Prix,2.0,PIA,3.323
Australian Grand Prix,2.0,BEA,32.192
Australian Grand Prix,3.0,VER,2.167
Australian Grand Prix,3.0,GAS,19.709
Australian Grand Prix,3.0,ANT,28.216
Australian Grand Prix,3.0,ALO,21.251
Australian Grand Prix,3.0,LEC,9.164
Australian Grand Prix,3.0,STR,24.262
Australian Grand Prix,3.0,TSU,13.011
Australian Grand Prix,3.0,ALB,15.977
Australian Grand Prix,3.0,HUL,26.156
Australian Grand Prix,3.0,LAW,34.831
Australian Grand Prix,3.0,OCO,32.054
Australian Grand Prix,3.0,NOR,0.0
Australian Grand Prix,3.0,HAM,17.864
Australian Grand Prix,3.0,BOR,30.196
Australian Grand Prix,3.0,RUS,6.529
Australian Grand Prix,3.0,PIA,3.977
Australian Grand Prix,3.0,BEA,35.907
Australian Grand Prix,4.0,VER,1.871
Australian Grand Prix,4.0,GAS,18.16
Australian Grand Prix,4.0,ANT,26.742
Australian Grand Prix,4.0,ALO,19.874
Australian Grand Prix,4.0,LEC,8.913
Australian Grand Prix,4.0,STR,23.012
Australian Grand Prix,4.0,TSU,12.226
Australian Grand Prix,4.0,ALB,14.2
Australian Grand Prix,4.0,HUL,25.216
Australian Grand Prix,4.0,LAW,39.065
Australian Grand Prix,4.0,OCO,38.188
Australian Grand Prix,4.0,NOR,0.0
Australian Grand Prix,4.0,HAM,15.941
Australian Grand Prix,4.0,BOR,28.911
Australian Grand Prix,4.0,RUS,6.951
Australian Grand Prix,4.0,PIA,3.6189999999999998
Australian Grand Prix,4.0,BEA,45.571
Australian Grand Prix,5.0,VER,1.8319999999999999
Australian Grand Prix,5.0,GAS,15.872
