EventName,Lap,Driver,GapToLeader_Secs,Event
Bahrain Grand Prix,1.0,VER,0.0,
Bahrain Grand Prix,1.0,GAS,10.63,
Bahrain Grand Prix,1.0,PER,2.044,
Bahrain Grand Prix,1.0,ALO,4.589,
Bahrain Grand Prix,1.0,LEC,1.211,
Bahrain Grand Prix,1.0,STR,5.651,
Bahrain Grand Prix,1.0,SAR,7.836,
Bahrain Grand Prix,1.0,MAG,10.311,
Bahrain Grand Prix,1.0,DEV,10.94,
Bahrain Grand Prix,1.0,TSU,8.772,
Bahrain Grand Prix,1.0,ALB,7.434,
Bahrain Grand Prix,1.0,ZHO,9.448,
Bahrain Grand Prix,1.0,HUL,8.32,
Bahrain Grand Prix,1.0,OCO,6.948,
Bahrain Grand Prix,1.0,NOR,6.345,
Bahrain Grand Prix,1.0,HAM,3.269,
Bahrain Grand Prix,1.0,SAI,2.64,
Bahrain Grand Prix,1.0,RUS,3.643,
Bahrain Grand Prix,1.0,BOT,5.135,
Bahrain Grand Prix,1.0,PIA,9.195,
Bahrain Grand Prix,2.0,VER,0.0,
Bahrain Grand Prix,2.0,GAS,13.094,
Bahrain Grand Prix,2.0,PER,2.932,
Bahrain Grand Prix,2.0,ALO,6.407,
Bahrain Grand Prix,2.0,LEC,1.987,
Bahrain Grand Prix,2.0,STR,7.569,
Bahrain Grand Prix,2.0,SAR,10.329,
Bahrain Grand Prix,2.0,MAG,13.858,
Bahrain Grand Prix,2.0,DEV,14.255,
Bahrain Grand Prix,2.0,TSU,11.635,
Bahrain Grand Prix,2.0,ALB,9.89,
Bahrain Grand Prix,2.0,ZHO,12.565,
Bahrain Grand Prix,2.0,HUL,11.066,
Bahrain Grand Prix,2.0,OCO,9.382,
Bahrain Grand Prix,2.0,NOR,8.804,
Bahrain Grand Prix,2.0,HAM,4.461,
Bahrain Grand Prix,2.0,SAI,3.599,
Bahrain Grand Prix,2.0,RUS,5.259,
Bahrain Grand Prix,2.0,BOT,7.117,
Bahrain Grand Prix,2.0,PIA,12.051,
Bahrain Grand Prix,3.0,VER,0.0,
Bahrain Grand Prix,3.0,GAS,15.731,
Bahrain Grand Prix,3.0,PER,3.756,
Bahrain Grand Prix,3.0,ALO,7.501,
Bahrain Grand Prix,3.0,LEC,2.639,
Bahrain Grand Prix,3.0,STR,9.188,
